Company,Price,change,Percent Change,Market Cap
Logitech International S.A.,42.61,-0.18,-0.42%,7.15B
"FLIR Systems, Inc.",53.22,+0.12,+0.23%,7.14B
"Anaplan, Inc.",53.24,+0.15,+0.28%,7.019B
"Monolithic Power Systems, Inc.",157.98,-0.48,-0.30%,6.862B
"Alteryx, Inc.",105.36,+2.12,+2.05%,6.856B
"Dynatrace, Inc.",24.19,-0.96,-3.82%,6.786B
InterXion Holding N.V.,85.35,+0.50,+0.59%,6.539B
"Arrow Electronics, Inc.",79.30,+0.02,+0.03%,6.459B
"CDK Global, Inc.",53.07,+0.04,+0.08%,6.443B
"Mellanox Technologies, Ltd.",114.50,-0.45,-0.39%,6.345B
Elastic N.V.,78.91,+1.38,+1.78%,6.269B
"Entegris, Inc.",46.46,+0.53,+1.15%,6.266B
"HubSpot, Inc.",144.66,+0.07,+0.05%,6.195B
Wix.com Ltd.,120.90,+0.19,+0.16%,6.184B
SYNNEX Corporation,120.89,+0.27,+0.22%,6.174B
Pegasystems Inc.,77.58,0.00,0.00%,6.155B
Paylocity Holding Corporation,114.67,-0.71,-0.62%,6.136B
Sabre Corporation,21.94,-0.08,-0.36%,6.009B
Flex Ltd.,11.78,+0.07,+0.60%,5.988B
SolarWinds Corporation,19.02,-0.07,-0.37%,5.919B
"Zscaler, Inc.",46.32,+0.90,+1.98%,5.904B
Jabil Inc.,38.64,-0.12,-0.31%,5.899B
"Avalara, Inc.",76.38,-1.56,-2.00%,5.877B
CACI International Inc,231.30,-3.90,-1.66%,5.792B
"First Solar, Inc.",54.38,+0.52,+0.97%,5.732B
Ciena Corporation,36.96,+0.42,+1.15%,5.718B
"Nutanix, Inc.",29.30,-0.39,-1.31%,5.63B
"MKS Instruments, Inc.",102.58,-0.36,-0.35%,5.592B
National Instruments Corporation,42.09,-0.56,-1.31%,5.516B
Clarivate Analytics Plc,17.71,-0.29,-1.61%,5.42B
"Cloudflare, Inc.",17.77,+0.41,+2.36%,5.334B
Lumentum Holdings Inc.,68.19,+1.04,+1.55%,5.264B
"RealPage, Inc.",54.39,+0.67,+1.25%,5.159B
"Manhattan Associates, Inc.",79.36,+0.32,+0.40%,5.071B
"Nuance Communications, Inc.",17.75,+0.23,+1.31%,5.07B
"Cree, Inc.",45.89,+1.78,+4.04%,4.943B
Science Applications International Corporation,82.48,-1.76,-2.09%,4.759B
Micro Focus International plc,14.09,+0.11,+0.79%,4.688B
"j2 Global, Inc.",95.22,-1.66,-1.71%,4.64B
CyberArk Software Ltd.,121.70,+1.96,+1.64%,4.61B
Tech Data Corporation,129.09,-0.33,-0.25%,4.576B
"Viasat, Inc.",73.36,+0.35,+0.48%,4.501B
Silicon Laboratories Inc.,103.53,+0.47,+0.46%,4.49B
"Littelfuse, Inc.",179.65,+0.51,+0.28%,4.376B
"Pure Storage, Inc.",16.86,-2.99,-15.06%,4.319B
Perspecta Inc.,26.61,-0.19,-0.71%,4.305B
NCR Corporation,33.29,+0.36,+1.09%,4.248B
"ACI Worldwide, Inc.",36.63,+0.39,+1.08%,4.234B
"Blackbaud, Inc.",83.88,-0.15,-0.18%,4.126B
"Pivotal Software, Inc.",15.00,0.00,0.00%,4.128B
"LG Display Co., Ltd.",5.65,-0.14,-2.42%,4.119B
"Avnet, Inc.",40.40,-0.22,-0.55%,4.078B
EchoStar Corporation,41.71,+1.03,+2.53%,4.07B
Smartsheet Inc.,44.75,+0.67,+1.52%,4.069B
"Cirrus Logic, Inc.",69.57,-0.07,-0.10%,4.021B
"Medallia, Inc.",31.15,-1.19,-3.68%,3.975B
"Q2 Holdings, Inc.",82.32,-0.41,-0.50%,3.964B
"New Relic, Inc.",66.80,+0.20,+0.30%,3.927B
"Switch, Inc.",15.94,+0.12,+0.76%,3.839B
"LogMeIn, Inc.",76.90,-0.16,-0.21%,3.754B
Globant S.A.,102.07,+2.08,+2.08%,3.736B
